trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
299,True,"{'a': 0.75, 'e': 0.011150733307840981}",20,12,16.658439410542822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,True,"{'a': 0.75, 'e': 0.011094979641301777}",20,11,17.912330348545048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,True,"{'a': 0.75, 'e': 0.011039504743095268}",20,12,17.75026098804225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,True,"{'a': 0.75, 'e': 0.01098430721937979}",20,12,12.30765128042847,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,True,"{'a': 0.75, 'e': 0.010929385683282892}",20,12,12.630162783820545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,True,"{'a': 0.75, 'e': 0.010874738754866477}",25,8,31.68680617324044,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,True,"{'a': 0.75, 'e': 0.010820365061092144}",30,16,26.38820634839006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,True,"{'a': 0.75, 'e': 0.010766263235786683}",30,18,24.90631516040105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,True,"{'a': 0.75, 'e': 0.01071243191960775}",20,0,11.205372628686476,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
308,True,"{'a': 0.75, 'e': 0.010658869760009713}",25,18,14.713156276265513,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,True,"{'a': 0.75, 'e': 0.010605575411209664}",25,17,15.178934167046538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,True,"{'a': 0.75, 'e': 0.010552547534153616}",20,14,12.318580713371365,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,True,"{'a': 0.75, 'e': 0.010499784796482848}",20,10,15.911572584126878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,True,"{'a': 0.75, 'e': 0.010447285872500434}",20,7,23.304893146697182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,True,"{'a': 0.75, 'e': 0.01039504944313793}",35,17,34.48554014733271,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,True,"{'a': 0.75, 'e': 0.010343074195922241}",20,14,11.693010960915206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,True,"{'a': 0.75, 'e': 0.01029135882494263}",20,11,15.16597544253766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,True,"{'a': 0.75, 'e': 0.010239902030817916}",20,8,21.72953673811056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,True,"{'a': 0.75, 'e': 0.010188702520663827}",20,5,26.641500212683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,True,"{'a': 0.75, 'e': 0.010137759008060509}",20,11,16.111311407043132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,True,"{'a': 0.75, 'e': 0.010087070213020206}",25,12,28.6654419033231,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,True,"{'a': 0.75, 'e': 0.010036634861955105}",25,17,13.18114209655858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,True,"{'a': 0.75, 'e': 0.00998645168764533}",25,13,20.90361807933345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,True,"{'a': 0.75, 'e': 0.009936519429207103}",30,3,40.57395850729012,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,True,"{'a': 0.75, 'e': 0.009886836832061067}",30,1,43.42551012342355,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,True,"{'a': 0.75, 'e': 0.009837402647900761}",25,18,10.673824133743938,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,True,"{'a': 0.75, 'e': 0.009788215634661257}",25,14,14.565966876759957,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
326,True,"{'a': 0.75, 'e': 0.00973927455648795}",20,0,30.65619160920574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,True,"{'a': 0.75, 'e': 0.009690578183705511}",20,1,25.836038798090673,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,True,"{'a': 0.75, 'e': 0.009642125292786984}",25,10,32.6917397997875,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,True,"{'a': 0.75, 'e': 0.009593914666323049}",25,11,7.934510981759709,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,True,"{'a': 0.75, 'e': 0.009545945092991434}",25,11,26.925952577209227,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,True,"{'a': 0.75, 'e': 0.009498215367526477}",20,0,20.431098175857894,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
332,True,"{'a': 0.75, 'e': 0.009450724290688845}",20,8,22.66609844530594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,True,"{'a': 0.75, 'e': 0.0094034706692354}",25,8,29.063746704192017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,True,"{'a': 0.75, 'e': 0.009356453315889223}",20,9,20.482281703309265,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,True,"{'a': 0.75, 'e': 0.009309671049309777}",25,11,2.2891659601177556,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
336,True,"{'a': 0.75, 'e': 0.009263122694063227}",20,7,23.742888613437177,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,True,"{'a': 0.75, 'e': 0.009216807080592911}",20,6,25.427329457370696,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,True,"{'a': 0.75, 'e': 0.009170723045189946}",20,10,12.264778569950662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,True,"{'a': 0.75, 'e': 0.009124869429963996}",25,0,44.253321696414645,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,True,"{'a': 0.75, 'e': 0.009079245082814175}",20,11,19.273508464825866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,True,"{'a': 0.75, 'e': 0.009033848857400105}",20,16,9.356304370231207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,True,"{'a': 0.75, 'e': 0.008988679613113105}",20,12,14.901804899629418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,True,"{'a': 0.75, 'e': 0.00894373621504754}",20,6,27.665264765429043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,True,"{'a': 0.75, 'e': 0.008899017533972303}",25,11,27.48529700652483,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,True,"{'a': 0.75, 'e': 0.008854522446302441}",30,21,18.60521504930729,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,True,"{'a': 0.75, 'e': 0.00881024983407093}",25,9,29.521518681097113,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,True,"{'a': 0.75, 'e': 0.008766198584900575}",25,18,14.1304981966503,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,True,"{'a': 0.75, 'e': 0.008722367591976072}",20,1,22.56069422425223,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,True,"{'a': 0.75, 'e': 0.008678755754016191}",20,13,11.292181955906525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,True,"{'a': 0.75, 'e': 0.00863536197524611}",30,10,27.389118478443766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
